Number,Hanzi,Pinyin,English,Part of Speech,First PoS,Eng pos,Level,Levels,example1_chinese,example1_pinyin,example1_english,example2_chinese,example2_pinyin,example2_english,example3_chinese,example3_pinyin,example3_english
11,边,biān,side; edge; margin,名 n.; 后缀 suff.,名 n.,noun; suffix,1,1,学校这边有一个超市。,Xuéxiào zhèbiān yǒu yí gè chāoshì.,There is a supermarket on this side of the school.,医院在那边。,Yīyuàn zài nàbiān.,The hospital is over there.,请坐在我这边。,Qǐng zuò zài wǒ zhèbiān.,Please sit over here with me.
12,病,bìng,illness; disease; to fall ill,名 n.; 动 v.,名 n.,noun; verb,1,1,他病了，今天不上班。,Tā bìng le; jīntiān bú shàngbān.,He is sick and is not going to work today.,这个病要去医院看。,Zhège bìng yào qù yīyuàn kàn.,This illness needs medical attention at a hospital.,她的病好了。,Tā de bìng hǎo le.,She has recovered from her illness.
13,不,bù,no; not so; not,副 adv.,副 adv.,adverb,1,1,我不喝茶。,Wǒ bù hē chá.,I do not drink tea.,他不是老师。,Tā bú shì lǎoshī.,He is not a teacher.,今天不冷。,Jīntiān bù lěng.,It is not cold today.
14,不客气,búkèqi,you're welcome,叹 interj.,叹 interj.,expression,1,1,谢谢你。不客气。,Xièxie nǐ. Bú kèqi.,Thank you. You’re welcome.,不客气，这是我的工作。,Bú kèqi; zhè shì wǒ de gōngzuò.,You’re welcome; this is my job.,老师说不客气。,Lǎoshī shuō bú kèqi.,The teacher said; “You’re welcome.”
15,不要,búyào,don't!; must not,副 adv.,副 adv.,adverb,1,1,不要说话。,Búyào shuōhuà.,Do not talk.,不要喝太多茶。,Búyào hē tài duō chá.,Do not drink too much tea.,不要去那边。,Búyào qù nàbiān.,Do not go over there.
16,菜,cài,dish; vegetable; cuisine,名 n.,名 n.,noun,1,1,我喜欢吃菜。,Wǒ xǐhuan chī cài.,I like eating vegetables.,这个菜很好吃。,Zhège cài hěn hǎochī.,This dish is delicious.,妈妈正在做菜。,Māma zhèngzài zuò cài.,Mom is cooking.
17,茶,chá,tea; tea plant,名 n.,名 n.,noun,1,1,我喜欢喝茶。,Wǒ xǐhuan hē chá.,I like drinking tea.,请给我一杯茶。,Qǐng gěi wǒ yì bēi chá.,Please give me a cup of tea.,我想喝茶。,Wǒ xiǎng hē chá.,I want to drink tea.
18,唱,chàng,to sing; to call loudly; to chant,动 v.,动 v.,verb,1,1,我唱歌。,Wǒ chàng gē.,I sing songs.,她会唱歌。,Tā huì chàng gē.,She can sing.,我们也唱歌。,Wǒmen yě chàng gē.,We sing too.
19,超市,chāoshì,supermarket,名 n.,名 n.,noun,1,1,我去超市。,Wǒ qù chāoshì.,I go to the supermarket.,超市在那边。,Chāoshì zài nàbiān.,The supermarket is over there.,这个超市很大。,Zhège chāoshì hěn dà.,This supermarket is large.
20,车,chē,car; vehicle,名 n.,名 n.,noun,1,1,我坐车去学校。,Wǒ zuò chē qù xuéxiào.,I take the car to school.,车到了。,Chē dào le.,The car has arrived.,这是我的车。,Zhè shì wǒ de chē.,This is my car.
21,吃,chī,to eat; to consume; to eat at,动 v.,动 v.,verb,1,1,我吃米饭。,Wǒ chī mǐfàn.,I eat rice.,他想吃饺子。,Tā xiǎng chī jiǎozi.,He wants to eat dumplings.,我们在饭店吃饭。,Wǒmen zài fàndiàn chī fàn.,We eat at a restaurant.
22,出租车,chūzūchē,taxi; rental car,名 n.,名 n.,noun,1,1,我坐出租车去医院。,Wǒ zuò chūzūchē qù yīyuàn.,I take a taxi to the hospital.,出租车在那边。,Chūzūchē zài nàbiān.,The taxis are over there.,我们正在找出租车。,Wǒmen zhèngzài zhǎo chūzūchē.,We are looking for a taxi.
23,穿,chuān,to wear; to put on; to dress,动 v.,动 v.,verb,1,1,我穿新衣服。,Wǒ chuān xīn yīfu.,I am wearing new clothes.,她喜欢穿漂亮衣服。,Tā xǐhuan chuān piàoliang yīfu.,She likes wearing pretty clothes.,天气冷，多穿一点儿衣服。,Tiānqì lěng; duō chuān yìdiǎnr yīfu.,It is cold; so wear a little more clothing.
24,打电话,dǎdiànhuà,to make a phone call,动 v.,动 v.,verb,1,1,我给妈妈打电话。,Wǒ gěi māma dǎ diànhuà.,I call my mom.,他正在打电话。,Tā zhèngzài dǎ diànhuà.,He is making a phone call.,请明天给我打电话。,Qǐng míngtiān gěi wǒ dǎ diànhuà.,Please call me tomorrow.
25,大,dà,big; large; great,形 adj.,形 adj.,adjective,1,1,这个房间很大。,Zhège fángjiān hěn dà.,This room is large.,中国很大。,Zhōngguó hěn dà.,China is large.,那只狗太大了。,Nà zhī gǒu tài dà le.,That dog is too big.
26,大家,dàjiā,everyone,代 pron.,代 pron.,pronoun,1,1,大家好。,Dàjiā hǎo.,Hello; everyone.,大家都是学生。,Dàjiā dōu shì xuéshēng.,Everyone is a student.,请大家坐。,Qǐng dàjiā zuò.,Everyone; please sit down.
27,大学,dàxué,college; university,名 n.,名 n.,noun,1,1,我在大学学习中文。,Wǒ zài dàxué xuéxí Zhōngwén.,I study Chinese at a university.,她明年上大学。,Tā míngnián shàng dàxué.,She will attend university next year.,这个大学很大。,Zhège dàxué hěn dà.,This university is large.
28,大学生,dàxuéshēng,university student; college student,名 n.,名 n.,noun,1,1,他是大学生。,Tā shì dàxuéshēng.,He is a university student.,我认识这个大学生。,Wǒ rènshi zhège dàxuéshēng.,I know this university student.,那个大学生很忙。,Nàge dàxuéshēng hěn máng.,That university student is busy.
29,到,dào,to reach; to arrive; to leave for,动 v.,动 v.,verb,1,1,我到学校了。,Wǒ dào xuéxiào le.,I have arrived at school.,火车下午到。,Huǒchē xiàwǔ dào.,The train arrives in the afternoon.,他明天到中国。,Tā míngtiān dào Zhōngguó.,He arrives in China tomorrow.
30,的,de,s; linking particle,助 part.,助 part.,particle,1,1,这是我的书。,Zhè shì wǒ de shū.,This is my book.,我喜欢新的。,Wǒ xǐhuan xīn de.,I like the new one.,那个老师是我的朋友。,Nàge lǎoshī shì wǒ de péngyou.,That teacher is my friend.
31,第,dì,prefix for ordinal numbers,前缀 pref.,前缀 pref.,prefix,1,1,这是第一本书。,Zhè shì dì yī běn shū.,This is the first book.,我住在第二个房间。,Wǒ zhù zài dì èr gè fángjiān.,I live in the second room.,他是第三个学生。,Tā shì dì sān gè xuéshēng.,He is the third student.
32,弟弟,dìdi,younger brother,名 n.,名 n.,noun,1,1,这是我弟弟。,Zhè shì wǒ dìdi.,This is my younger brother.,我弟弟在家。,Wǒ dìdi zài jiā.,My younger brother is at home.,我爱我弟弟。,Wǒ ài wǒ dìdi.,I love my younger brother.
33,点,diǎn,o'clock; point,量 m.w.; （名 n.）,量 m.w.,measure word,1,1（3）,现在三点。,Xiànzài sān diǎn.,It is three o’clock.,我们八点上课。,Wǒmen bā diǎn shàngkè.,We start class at eight.,我晚上十点睡觉。,Wǒ wǎnshang shí diǎn shuìjiào.,I go to bed at ten at night.
34,店,diàn,inn; old-style hotel; shop,名 n.,名 n.,noun,1,1,我去店里买东西。,Wǒ qù diàn lǐ mǎi dōngxi.,I am going to the shop to buy something.,这个店卖衣服。,Zhège diàn mài yīfu.,This shop sells clothes.,那个店上午九点开。,Nàge diàn shàngwǔ jiǔ diǎn kāi.,That shop opens at nine in the morning.
35,电话,diànhuà,telephone; phone call; phone number,名 n.,名 n.,noun,1,1,电话在桌子上。,Diànhuà zài zhuōzi shàng.,The telephone is on the table.,我听见电话了。,Wǒ tīngjiàn diànhuà le.,I heard the phone.,这是公司的电话。,Zhè shì gōngsī de diànhuà.,This is the company’s telephone.
36,电脑,diànnǎo,computer,名 n.,名 n.,noun,1,1,这是我的电脑。,Zhè shì wǒ de diànnǎo.,This is my computer.,电脑在桌子上。,Diànnǎo zài zhuōzi shàng.,The computer is on the desk.,我想买新电脑。,Wǒ xiǎng mǎi xīn diànnǎo.,I want to buy a new computer.
37,电视,diànshì,television; TV,名 n.,名 n.,noun,1,1,我晚上看电视。,Wǒ wǎnshang kàn diànshì.,I watch television in the evening.,电视在房间里。,Diànshì zài fángjiān lǐ.,The television is in the room.,这个电视很新。,Zhège diànshì hěn xīn.,This television is new.
38,电影,diànyǐng,movie; film,名 n.,名 n.,noun,1,1,我喜欢看电影。,Wǒ xǐhuan kàn diànyǐng.,I like watching movies.,这个电影很好看。,Zhège diànyǐng hěn hǎokàn.,This movie is enjoyable.,我们去电影院看电影。,Wǒmen qù diànyǐngyuàn kàn diànyǐng.,We go to the cinema to watch a movie.
39,电影院,diànyǐngyuàn,cinema; movie theater,名 n.,名 n.,noun,1,1,我去电影院。,Wǒ qù diànyǐngyuàn.,I go to the cinema.,电影院在那边。,Diànyǐngyuàn zài nàbiān.,The cinema is over there.,这个电影院很大。,Zhège diànyǐngyuàn hěn dà.,This cinema is large.
40,东西,dōngxi,thing; stuff; person,名 n.,名 n.,noun,1,1,这些东西是我的。,Zhèxiē dōngxi shì wǒ de.,These things are mine.,我想买东西。,Wǒ xiǎng mǎi dōngxi.,I want to buy some things.,桌子上有很多东西。,Zhuōzi shàng yǒu hěn duō dōngxi.,There are many things on the table.
41,都,dōu,all; both; entirely,副 adv.,副 adv.,adverb,1,1,我们都是学生。,Wǒmen dōu shì xuéshēng.,We are all students.,这些书都很好。,Zhèxiē shū dōu hěn hǎo.,These books are all good.,爸爸妈妈都在家。,Bàba māma dōu zài jiā.,Dad and Mom are both at home.
42,读,dú,to read out; to read aloud; to read,动 v.,动 v.,verb,1,1,我读书。,Wǒ dú shū.,I read books.,请读这个字。,Qǐng dú zhège zì.,Please read this character.,学生正在读中文。,Xuéshēng zhèngzài dú Zhōngwén.,The student is reading Chinese.
43,读书,dúshū,to read a book; to study; to attend school,动 v.,动 v.,verb,1,1,我喜欢读书。,Wǒ xǐhuan dúshū.,I like reading.,他在房间里读书。,Tā zài fángjiān lǐ dúshū.,He is reading in the room.,我们晚上读书。,Wǒmen wǎnshang dúshū.,We read in the evening.
44,对,duì,correct; toward,形 adj.; 介 prep.; （动 v.; 量 m.w.）,形 adj.,adjective; preposition,1,1（4）,这个问题你说得对。,Zhège wèntí nǐ shuō de duì.,You answered this question correctly.,老师对学生很好。,Lǎoshī duì xuéshēng hěn hǎo.,The teacher is very kind to the students.,我对他说你好。,Wǒ duì tā shuō nǐ hǎo.,I said hello to him.
45,对不起,duìbuqǐ,I'm sorry; excuse me; I beg your pardon,动 v.,动 v.,expression,1,1,对不起，我来晚了。,Duìbuqǐ; wǒ lái wǎn le.,Sorry; I arrived late.,对不起，我不知道。,Duìbuqǐ; wǒ bù zhīdào.,Sorry; I do not know.,对不起，我不能来。,Duìbuqǐ; wǒ bù néng lái.,Sorry; I cannot come.
46,多,duō,many; much; too many,形 adj.; 动 v.; 代 pron.; （数 num.; 副 adv.）,形 adj.,adjective; adverb; pronoun,1,1（2）,这里人很多。,Zhèlǐ rén hěn duō.,There are many people here.,我有很多书。,Wǒ yǒu hěn duō shū.,I have many books.,请多喝水。,Qǐng duō hē shuǐ.,Please drink more water.
47,多少,duōshao,how many; how much,代 pron.,代 pron.,pronoun,1,1,这个多少钱？,Zhège duōshao qián?,How much is this?,你家有多少人？,Nǐ jiā yǒu duōshao rén?,How many people are in your family?,你学习中文多少年了？,Nǐ xuéxí Zhōngwén duōshao nián le?,How many years have you studied Chinese?
48,儿子,érzi,son,名 n.,名 n.,noun,1,1,这是我儿子。,Zhè shì wǒ érzi.,This is my son.,我儿子在家。,Wǒ érzi zài jiā.,My son is at home.,我爱我儿子。,Wǒ ài wǒ érzi.,I love my son.
49,二,èr,two; 2,数 num.,数 num.,numeral,1,1,二加二是四。,Èr jiā èr shì sì.,Two plus two is four.,今天是二月二日。,Jīntiān shì èr yuè èr rì.,Today is February 2.,我的电话号有两个二。,Wǒ de diànhuà hào yǒu liǎng gè èr.,My phone number contains two twos.
50,饭,fàn,cooked rice; meal; fan,名 n.,名 n.,noun,1,1,我们现在吃饭。,Wǒmen xiànzài chī fàn.,We are eating now.,饭很好吃。,Fàn hěn hǎochī.,The meal tastes good.,我们在饭店吃饭。,Wǒmen zài fàndiàn chī fàn.,We eat at a restaurant.
51,饭店,fàndiàn,restaurant; hotel,名 n.,名 n.,noun,1,1,我去饭店。,Wǒ qù fàndiàn.,I go to the restaurant.,饭店在那边。,Fàndiàn zài nàbiān.,The restaurant is over there.,这个饭店很大。,Zhège fàndiàn hěn dà.,This restaurant is large.
52,房间,fángjiān,room,名 n.,名 n.,noun,1,1,我住在这个房间。,Wǒ zhù zài zhège fángjiān.,I am staying in this room.,房间里有桌子和椅子。,Fángjiān lǐ yǒu zhuōzi hé yǐzi.,There is a table and a chair in the room.,这个房间很大。,Zhège fángjiān hěn dà.,This room is large.
53,非常,fēicháng,very; really; unusual,副 adv.,副 adv.,adverb,1,1,我非常高兴。,Wǒ fēicháng gāoxìng.,I am very happy.,这个菜非常好吃。,Zhège cài fēicháng hǎochī.,This dish is extremely tasty.,今天天气非常好。,Jīntiān tiānqì fēicháng hǎo.,The weather is very good today.
54,飞机,fēijī,airplane,名 n.,名 n.,noun,1,1,我坐飞机去中国。,Wǒ zuò fēijī qù Zhōngguó.,I am flying to China.,飞机下午三点到。,Fēijī xiàwǔ sān diǎn dào.,The plane arrives at three in the afternoon.,我们在飞机上。,Wǒmen zài fēijī shàng.,We are on the plane.
55,分,fēn,minute; point,量 m.w.; （动 v.; 名 n.）,量 m.w.,measure word; noun,1,1（3）,现在三点十分。,Xiànzài sān diǎn shí fēn.,It is 3:10 now.,现在八点五分。,Xiànzài bā diǎn wǔ fēn.,It is 8:05 now.,现在九点二十分。,Xiànzài jiǔ diǎn èr shí fēn.,It is 9:20 now.
56,分钟,fēnzhōng,minute,量 m.w.,量 m.w.,measure word,1,1,我学习了十分钟。,Wǒ xuéxí le shí fēnzhōng.,I studied for ten minutes.,五分钟后下课。,Wǔ fēnzhōng hòu xiàkè.,Class ends in five minutes.,他休息了三十分钟。,Tā xiūxi le sān shí fēnzhōng.,He rested for thirty minutes.
57,高兴,gāoxìng,happy; glad; willing,形 adj.,形 adj.,adjective,1,1,我很高兴。,Wǒ hěn gāoxìng.,I am happy.,认识你很高兴。,Rènshi nǐ hěn gāoxìng.,Nice to meet you.,大家今天都很高兴。,Dàjiā jīntiān dōu hěn gāoxìng.,Everyone is happy today.
58,歌,gē,song; to sing,名 n.,名 n.,noun,1,1,我喜欢这首歌。,Wǒ xǐhuan zhè shǒu gē.,I like this song.,她会唱歌。,Tā huì chàng gē.,She can sing.,这首歌很好听。,Zhè shǒu gē hěn hǎotīng.,This song sounds good.
59,哥哥,gēge,older brother,名 n.,名 n.,noun,1,1,这是我哥哥。,Zhè shì wǒ gēge.,This is my older brother.,我哥哥在家。,Wǒ gēge zài jiā.,My older brother is at home.,我爱我哥哥。,Wǒ ài wǒ gēge.,I love my older brother.
60,个,gè,general measure word,量 m.w.,量 m.w.,measure word,1,1,我有一个朋友。,Wǒ yǒu yí gè péngyou.,I have one friend.,这里有三个人。,Zhèlǐ yǒu sān gè rén.,There are three people here.,你要几个苹果？,Nǐ yào jǐ gè píngguǒ?,How many apples do you want?
61,给,gěi,to give; to,动 v.; （介 prep.）,动 v.,verb; preposition,1,1（2）,我给你一本书。,Wǒ gěi nǐ yì běn shū.,I give you a book.,请给我一杯水。,Qǐng gěi wǒ yì bēi shuǐ.,Please give me a glass of water.,妈妈给孩子做饭。,Māma gěi háizi zuò fàn.,Mom cooks for the child.
62,公司,gōngsī,company; firm; corporation,名 n.,名 n.,noun,1,1,我在公司上班。,Wǒ zài gōngsī shàngbān.,I work at a company.,公司在学校后边。,Gōngsī zài xuéxiào hòubian.,The company is behind the school.,这是一个大公司。,Zhè shì yí gè dà gōngsī.,This is a large company.
63,工作,gōngzuò,to work; to operate; job,动 v.; 名 n.,动 v.,verb; noun,1,1,我在公司工作。,Wǒ zài gōngsī gōngzuò.,I work at a company.,她在医院工作。,Tā zài yīyuàn gōngzuò.,She works at a hospital.,今天我有很多工作。,Jīntiān wǒ yǒu hěn duō gōngzuò.,I have a lot of work today.
64,狗,gǒu,dog,名 n.,名 n.,noun,1,1,这是我的狗。,Zhè shì wǒ de gǒu.,This is my dog.,我喜欢狗。,Wǒ xǐhuan gǒu.,I like dogs.,那只狗很小。,Nà zhī gǒu hěn xiǎo.,That dog is small.
65,贵,guì,expensive; noble; precious,形 adj.,形 adj.,adjective,1,1,这件衣服很贵。,Zhè jiàn yīfu hěn guì.,This item of clothing is expensive.,这个电脑太贵了。,Zhège diànnǎo tài guì le.,This computer is too expensive.,那本书不贵。,Nà běn shū bú guì.,That book is not expensive.
66,国,guó,country,名 n.,名 n.,noun,1,1,你是哪国人？,Nǐ shì nǎ guó rén?,Which country are you from?,他不是中国人，你知道他是哪国人吗？,Tā bú shì Zhōngguó rén; nǐ zhīdào tā shì nǎ guó rén ma?,He is not Chinese. Do you know which country he is from?,中国是一个大国。,Zhōngguó shì yí gè dà guó.,China is a large country.
67,还,hái,to return; to give back,副 adv.,副 adv.,adverb,1,1,他还在学校。,Tā hái zài xuéxiào.,He is still at school.,我有书，还有电脑。,Wǒ yǒu shū; hái yǒu diànnǎo.,I have books and also a computer.,你还要什么？,Nǐ hái yào shénme?,What else do you want?
68,孩子,háizi,child,名 n.,名 n.,noun,1,1,这个孩子很小。,Zhège háizi hěn xiǎo.,This child is young.,孩子在外边玩。,Háizi zài wàibian wán.,The child is playing outside.,我有一个孩子。,Wǒ yǒu yí gè háizi.,I have one child.
69,汉语,Hànyǔ,Chinese language,名 n.,名 n.,noun,1,1,我学习汉语。,Wǒ xuéxí Hànyǔ.,I study Chinese.,她会说汉语。,Tā huì shuō Hànyǔ.,She can speak Chinese.,汉语很好听。,Hànyǔ hěn hǎotīng.,Chinese sounds beautiful.
70,汉字,Hànzì,Chinese character,名 n.,名 n.,noun,1,1,我学习汉字。,Wǒ xuéxí Hànzì.,I study Chinese characters.,她会写汉字。,Tā huì xiě Hànzì.,She can write Chinese characters.,这个汉字怎么读？,Zhège Hànzì zěnme dú?,How is this Chinese character read?
71,好,hǎo,good; appropriate; proper,形 adj.; （副 adv.）; （动 v.）,形 adj.,adjective; adverb; verb,1,1（2）（4）,今天天气很好。,Jīntiān tiānqì hěn hǎo.,The weather is good today.,这个老师很好。,Zhège lǎoshī hěn hǎo.,This teacher is very kind.,你好吗？,Nǐ hǎo ma?,How are you?
72,好吃,hǎochī,tasty; delicious,形 adj.,形 adj.,adjective,1,1,这个菜很好吃。,Zhège cài hěn hǎochī.,This dish is delicious.,包子真好吃。,Bāozi zhēn hǎochī.,The steamed buns are really tasty.,我觉得饺子很好吃。,Wǒ juéde jiǎozi hěn hǎochī.,I think dumplings are delicious.
73,好看,hǎokàn,good-looking; nice,形 adj.,形 adj.,adjective,1,1,这个电影很好看。,Zhège diànyǐng hěn hǎokàn.,This movie is good.,这件衣服很好看。,Zhè jiàn yīfu hěn hǎokàn.,This item of clothing looks good.,那本书很好看。,Nà běn shū hěn hǎokàn.,That book is enjoyable to read.
74,好听,hǎotīng,pleasant to hear,形 adj.,形 adj.,adjective,1,1,这首歌很好听。,Zhè shǒu gē hěn hǎotīng.,This song sounds good.,她说话很好听。,Tā shuōhuà hěn hǎotīng.,Her voice sounds pleasant.,我觉得汉语很好听。,Wǒ juéde Hànyǔ hěn hǎotīng.,I think Chinese sounds beautiful.
75,好玩儿,hǎowánr,fun; interesting,形 adj.,形 adj.,adjective,1,1,这里很好玩儿。,Zhèlǐ hěn hǎowánr.,It is fun here.,这儿真好玩儿。,Zhèr zhēn hǎowánr.,This place is really fun.,孩子觉得学校很好玩儿。,Háizi juéde xuéxiào hěn hǎowánr.,The child thinks school is fun.
76,号,hào,number; day of the month,名 n.; 量 m.w.,名 n.,noun; measure word,1,1,今天是十三号。,Jīntiān shì shí sān hào.,Today is the thirteenth.,你的电话号是多少？,Nǐ de diànhuà hào shì duōshao?,What is your phone number?,我住六号房间。,Wǒ zhù liù hào fángjiān.,I am staying in room six.
77,喝,hē,to shout,动 v.,动 v.,verb,1,1,我喝水。,Wǒ hē shuǐ.,I drink water.,爸爸喜欢喝茶。,Bàba xǐhuan hē chá.,Dad likes drinking tea.,她不喝牛奶。,Tā bù hē niúnǎi.,She does not drink milk.
78,和,hé,and; with,介 prep.; 连 conj.,介 prep.,conjunction; preposition,1,1,我和他是同学。,Wǒ hé tā shì tóngxué.,He and I are classmates.,我喜欢茶和牛奶。,Wǒ xǐhuan chá hé niúnǎi.,I like tea and milk.,她在和老师说话。,Tā zài hé lǎoshī shuōhuà.,She is talking with the teacher.
79,很,hěn,quite; very; awfully,副 adv.,副 adv.,adverb,1,1,她很高兴。,Tā hěn gāoxìng.,She is happy.,这个房间很大。,Zhège fángjiān hěn dà.,This room is large.,我很喜欢中文。,Wǒ hěn xǐhuan Zhōngwén.,I like Chinese very much.
80,后,hòu,empress; queen; monarch,名 n.,名 n.,noun,1,1,学校后边有一个饭店。,Xuéxiào hòubian yǒu yí gè fàndiàn.,There is a restaurant behind the school.,下课后我回家。,Xiàkè hòu wǒ huí jiā.,I go home after class.,他坐在我后边。,Tā zuò zài wǒ hòubian.,He sits behind me.
81,回,huí,measure word for acts of a play,动 v.; （量 m.w.）,动 v.,verb,1,1（3）,我回家了。,Wǒ huí jiā le.,I have gone home.,他明天回中国。,Tā míngtiān huí Zhōngguó.,He returns to China tomorrow.,下班后，爸爸回家。,Xiàbān hòu; bàba huí jiā.,Dad goes home after work.
82,会,huì,can; to know how to,动 v.,动 v.,verb,1,1,我会说汉语。,Wǒ huì shuō Hànyǔ.,I can speak Chinese.,她会开车。,Tā huì kāichē.,She knows how to drive.,你会做饭吗？,Nǐ huì zuò fàn ma?,Can you cook?
83,火车,huǒchē,train,名 n.,名 n.,noun,1,1,我坐火车去中国。,Wǒ zuò huǒchē qù Zhōngguó.,I take the train to China.,火车到了。,Huǒchē dào le.,The train has arrived.,火车下午三点到。,Huǒchē xiàwǔ sān diǎn dào.,The train arrives at three in the afternoon.
84,鸡蛋,jīdàn,egg; hen's egg,名 n.,名 n.,noun,1,1,我喜欢吃鸡蛋。,Wǒ xǐhuan chī jīdàn.,I like eating eggs.,鸡蛋很好吃。,Jīdàn hěn hǎochī.,Eggs taste good.,我想吃鸡蛋。,Wǒ xiǎng chī jīdàn.,I want to eat eggs.
85,几,jǐ,how much; how many; several,代 pron.; 数 num.,代 pron.,pronoun,1,1,现在几点？,Xiànzài jǐ diǎn?,What time is it now?,你家有几口人？,Nǐ jiā yǒu jǐ kǒu rén?,How many people are in your family?,你要几个苹果？,Nǐ yào jǐ gè píngguǒ?,How many apples do you want?
86,家,jiā,family; home; measure word for households or businesses,名 n.; 量 m.w.; （后缀 suff.）,名 n.,noun,1,1（3）,我回家了。,Wǒ huí jiā le.,I have gone home.,我家在学校后边。,Wǒ jiā zài xuéxiào hòubian.,My home is behind the school.,我爱我家。,Wǒ ài wǒ jiā.,I love my home.
87,家人,jiārén,family member; servant,名 n.,名 n.,noun,1,1,我家人都在中国。,Wǒ jiārén dōu zài Zhōngguó.,My family members are all in China.,我爱我的家人。,Wǒ ài wǒ de jiārén.,I love my family.,星期天我和家人吃饭。,Xīngqītiān wǒ hé jiārén chī fàn.,I eat with my family on Sunday.
88,见,jiàn,to see; to meet; to appear,动 v.,动 v.,verb,1,1,我今天见老师。,Wǒ jīntiān jiàn lǎoshī.,I am meeting the teacher today.,明天见！,Míngtiān jiàn!,See you tomorrow!,她想见朋友。,Tā xiǎng jiàn péngyou.,She wants to see her friend.
89,件,jiàn,measure word for things; items of clothing,量 m.w.,量 m.w.,measure word,1,1,我买了一件衣服。,Wǒ mǎi le yí jiàn yīfu.,I bought one item of clothing.,这件衣服很漂亮。,Zhè jiàn yīfu hěn piàoliang.,This item of clothing is pretty.,那件是我的。,Nà jiàn shì wǒ de.,That item is mine.
90,饺子,jiǎozi,dumpling; pot-sticker,名 n.,名 n.,noun,1,1,我喜欢吃饺子。,Wǒ xǐhuan chī jiǎozi.,I like eating dumplings.,饺子很好吃。,Jiǎozi hěn hǎochī.,Dumplings taste good.,我想吃饺子。,Wǒ xiǎng chī jiǎozi.,I want to eat dumplings.
91,叫,jiào,to shout; to call; to order,动 v.; （介 prep.）,动 v.,verb,1,1（4）,我叫李明。,Wǒ jiào Lǐ Míng.,My name is Li Ming.,他叫什么名字？,Tā jiào shénme míngzi?,What is his name?,大家叫我小李。,Dàjiā jiào wǒ Xiǎo Lǐ.,Everyone calls me Xiao Li.
92,姐姐,jiějie,older sister,名 n.,名 n.,noun,1,1,这是我姐姐。,Zhè shì wǒ jiějie.,This is my older sister.,我姐姐在家。,Wǒ jiějie zài jiā.,My older sister is at home.,我爱我姐姐。,Wǒ ài wǒ jiějie.,I love my older sister.
